company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Startup156,,SSPM,"Austin, TX",0.85,,,,"ai compliance, shadow it, ai security, saas posture management, saas audit"
Charter,,SSPM,Remote,0.85,,,,"sspm, saas compliance"
Startup256,,SaaS Compliance,"New York, NY",0.9,,,,"saas compliance, ai security, sspm, security posture management, llm compliance"
Startup361,,AI Compliance,"Toronto, Canada",0.8,,,,"ai compliance, ai agent security, generative ai compliance"
Startup142,,AI Agent Security,"Austin, TX",0.7,,,,"sanctioned it, ai agent risk, shadow it, genai security"
Startup15,,AI Compliance,"Boston, MA",0.9,,,,"llm security, genai security, ai agent security, cloud compliance, generative ai compliance"
Startup225,,SaaS Security,Remote (US),0.7,,,,"ai agent risk, cloud governance"
Boeing,,SSPM,Remote (US),0.85,,,,"security posture management, cloud application security, saas security posture"
Startup359,,SaaS Security,Hybrid - Bay Area,0.9,,,,"sanctioned it, cloud application security, ai governance, saas governance, cloud governance"
BCG,,SaaS Security,"San Francisco, CA",0.85,,,,"ai security, ai governance, saas governance, cloud application security, generative ai compliance"
Sysdig,,AI Compliance,"Seattle, WA",0.8,,,,"llm security, ai compliance"
Startup270,,SaaS Security,"London, UK",0.8,,,,"saas governance, ai agent risk"
Startup32,,SSPM,Remote,0.85,,,,"shadow it, autonomous agent security, cloud compliance"
Startup283,,SSPM,"Denver, CO",0.85,,,,"saas security posture, saas governance, ai security, autonomous agent security"
Startup98,,SaaS Compliance,"Austin, TX",0.7,,,,"cloud compliance, llm security"
SentinelOne,,SaaS Security,"Seattle, WA",0.85,,,,"ai agent risk, llm security, saas security posture, sanctioned it, shadow it"
Startup338,,SaaS Security,Hybrid - Bay Area,0.8,,,,"ai security, cloud governance, cloud application security"
Startup31,,SSPM,Remote,0.85,,,,"llm compliance, sspm, saas risk"
Startup12,,SSPM,"Austin, TX",0.85,,,,"saas compliance, llm compliance, saas posture management"
Startup362,,SaaS Compliance,"Boston, MA",0.85,,,,"saas governance, ai compliance, ai agent security"
Startup145,,SSPM,Remote,0.85,,,,"saas audit, saas posture management, cloud governance"
Startup290,,SSPM,Remote (US),0.85,,,,"saas audit, saas posture management, saas security"
Stripe,,SSPM,Remote (US),0.85,,,,"llm compliance, ai policy, cloud governance, saas posture management, ai security"
Asana,,SaaS Security,"London, UK",0.85,,,,"ai agent risk, saas compliance, genai security, saas risk, saas security"
Startup300,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud app security, llm compliance"
Startup377,,SaaS Compliance,"Toronto, Canada",0.85,,,,"cloud governance, saas compliance, llm security"
Boeing,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud compliance, cloud application security, shadow it, sanctioned it"
Startup337,,SSPM,"Seattle, WA",0.85,,,,"saas posture management, autonomous agent security, security posture management"
Startup344,,AI Compliance,"Seattle, WA",0.7,,,,"ai governance, ai compliance"
Startup225,,SaaS Compliance,"London, UK",0.9,,,,"llm security, llm compliance, saas compliance, ai security"
Asana,,SaaS Compliance,"Toronto, Canada",0.85,,,,"generative ai compliance, saas governance, shadow it, ai agent risk"
Startup159,,SaaS Compliance,"Boston, MA",0.8,,,,"sanctioned it, saas compliance, ai security"
Startup365,,SSPM,"Toronto, Canada",0.85,,,,"cloud compliance, saas audit, sanctioned it, saas security posture"
Startup166,,SSPM,"London, UK",0.85,,,,"llm security, saas security posture, ai agent risk, saas audit"
Startup197,,SaaS Compliance,"Toronto, Canada",0.8,,,,"saas risk, cloud governance, ai compliance"
Startup27,,SaaS Security,"San Francisco, CA",0.85,,,,"llm compliance, genai security, cloud app security"
Startup54,,SSPM,"Austin, TX",0.85,,,,"cloud application security, generative ai compliance, security posture management, ai security, ai compliance"
Startup103,,SaaS Security,"Toronto, Canada",0.8,,,,"llm security, ai policy, genai security, saas risk, shadow it"
Startup248,,SaaS Security,"London, UK",0.8,,,,"saas governance, ai agent risk"
T-Mobile,,SaaS Security,Remote,0.8,,,,"ai compliance, cloud application security"
Startup366,,SaaS Security,"Boston, MA",0.85,,,,"cloud app security, saas security, ai governance, autonomous agent security"
Startup70,,SSPM,Remote (US),0.9,,,,"saas security, sanctioned it, autonomous agent security, llm compliance, saas posture management"
Zoom,,SSPM,"London, UK",0.85,,,,"cloud app security, security posture management, cloud application security"
Startup61,,SSPM,"Seattle, WA",0.85,,,,"saas compliance, saas security posture, ai security, saas audit, saas posture management"
Startup157,,SaaS Security,Hybrid - Bay Area,0.85,,,,"llm compliance, autonomous agent security, saas security, ai security"
Startup290,,SSPM,"Seattle, WA",0.85,,,,"ai security, security posture management, cloud app security"
Zscaler,,SaaS Compliance,"London, UK",0.85,,,,"cloud compliance, cloud governance"
Startup233,,SaaS Security,Hybrid - Bay Area,0.8,,,,"llm security, saas governance, ai security"
VMware,,SSPM,"London, UK",0.85,,,,"saas governance, saas posture management, saas risk"
Startup383,,SaaS Security,"Denver, CO",0.9,,,,"ai agent risk, generative ai compliance, saas security posture, saas governance"
Check Point,,AI Agent Security,"London, UK",0.7,,,,"llm security, ai agent security"
Startup62,,AI Agent Security,"Seattle, WA",0.7,,,,"ai agent security, autonomous agent security"
Oracle,,SaaS Security,Remote (US),0.85,,,,"ai agent risk, saas risk, saas security, cloud application security"
Startup138,,SaaS Security,"London, UK",0.9,,,,"cloud compliance, llm compliance, saas security, saas compliance, generative ai compliance"
Startup165,,SaaS Security,Hybrid - Bay Area,0.8,,,,"ai governance, llm compliance, saas risk, autonomous agent security"
Humana,,SaaS Compliance,"Austin, TX",0.85,,,,"ai policy, cloud governance, llm compliance, cloud compliance, saas audit"
Startup172,,SaaS Security,Remote (US),0.7,,,,"saas audit, ai agent risk"
Startup376,,SSPM,Remote (US),0.85,,,,"shadow it, cloud application security, sspm, sanctioned it"
Startup359,,SSPM,"Boston, MA",0.85,,,,"saas posture management, ai compliance, cloud compliance, ai agent security, cloud governance"
Comcast,,SaaS Compliance,"Austin, TX",0.85,,,,"sanctioned it, saas compliance, ai compliance, cloud compliance, saas governance"
Verizon,,SSPM,"Austin, TX",0.85,,,,"cloud application security, cloud governance"
Startup178,,SaaS Compliance,"Denver, CO",0.9,,,,"llm compliance, saas compliance, cloud governance, saas posture management, cloud app security"
Startup162,,SaaS Security,Hybrid - Bay Area,0.8,,,,"cloud app security, ai security"
Startup118,,SaaS Security,"Toronto, Canada",0.85,,,,"ai compliance, saas governance, cloud application security"
Startup114,,SaaS Security,"San Francisco, CA",0.7,,,,"shadow it, ai security"
American Express,,SSPM,"Toronto, Canada",0.85,,,,"security posture management, saas security, generative ai compliance"
Startup362,,SSPM,"Denver, CO",0.85,,,,"saas security posture, sspm"
Startup118,,AI Agent Security,Remote (US),0.7,,,,"genai security, ai security, ai governance"
Startup28,,AI Compliance,"New York, NY",0.85,,,,"cloud compliance, ai compliance, autonomous agent security, llm security"
Cloudflare,,SSPM,"Boston, MA",0.85,,,,"ai security, saas security posture, saas security, shadow it"
Startup265,,AI Agent Security,"Seattle, WA",0.8,,,,"ai agent security, cloud compliance, genai security"
Startup149,,SSPM,Remote (US),0.85,,,,"security posture management, autonomous agent security, ai policy, generative ai compliance, ai security"
Startup244,,SSPM,"London, UK",0.85,,,,"saas security, security posture management, ai policy"
Startup264,,SaaS Security,"Austin, TX",0.8,,,,"genai security, cloud app security, ai governance"
Startup36,,SSPM,"New York, NY",0.85,,,,"saas security posture, ai compliance"
Startup153,,SSPM,"Austin, TX",0.85,,,,"generative ai compliance, sspm"
Startup135,,SaaS Security,"Denver, CO",0.85,,,,"genai security, llm security, saas governance, cloud app security"
Startup127,,SSPM,"Boston, MA",0.9,,,,"saas security, ai compliance, genai security, saas posture management"
Startup2,,SSPM,Remote (US),0.85,,,,"saas security, shadow it"
Startup127,,SSPM,"Austin, TX",0.85,,,,"cloud app security, saas audit, security posture management, saas security"
Startup384,,SSPM,"Boston, MA",0.85,,,,"cloud compliance, sspm"
Startup376,,AI Compliance,"Toronto, Canada",0.7,,,,"ai security, ai governance, ai compliance, sanctioned it"
Startup118,,SaaS Security,"London, UK",0.85,,,,"saas security, ai policy, saas compliance"
Startup256,,AI Compliance,"London, UK",0.9,,,,"ai policy, llm security, generative ai compliance, shadow it"
Startup236,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud app security, shadow it, cloud governance"
Best Buy,,SSPM,"New York, NY",0.85,,,,"llm compliance, security posture management"
Startup379,,SaaS Compliance,Remote (US),0.85,,,,"llm compliance, saas compliance"
Startup80,,SSPM,Remote,0.85,,,,"saas compliance, sanctioned it, sspm"
Startup209,,SSPM,"Austin, TX",0.85,,,,"sanctioned it, saas posture management"
Startup264,,SSPM,"Seattle, WA",0.85,,,,"shadow it, llm compliance, security posture management"
Startup44,,SaaS Compliance,Remote,0.85,,,,"autonomous agent security, saas audit, cloud governance, generative ai compliance, cloud compliance"
Startup37,,SSPM,"New York, NY",0.85,,,,"saas risk, cloud governance, saas governance"
Startup387,,SSPM,Remote (US),0.85,,,,"sspm, shadow it, cloud application security"
Startup7,,SaaS Security,Remote,0.9,,,,"ai policy, autonomous agent security, cloud compliance, ai compliance, cloud app security"
Startup207,,SaaS Security,Remote (US),0.7,,,,"cloud governance, ai agent security"
McAfee,,SSPM,"Austin, TX",0.85,,,,"cloud application security, ai policy"
Startup355,,SSPM,"London, UK",0.85,,,,"llm security, sanctioned it, llm compliance, security posture management"
Intel,,SSPM,Remote (US),0.85,,,,"saas audit, llm security"
Startup376,,SSPM,Remote (US),0.85,,,,"saas risk, security posture management"
Meta,,SaaS Compliance,"San Francisco, CA",0.9,,,,"cloud governance, saas compliance, ai security, autonomous agent security, generative ai compliance"
Startup261,,SaaS Security,Remote (US),0.9,,,,"ai agent security, genai security, sspm, ai compliance, shadow it"
Startup395,,SaaS Compliance,"London, UK",0.85,,,,"cloud app security, saas compliance"
Startup330,,SaaS Security,"London, UK",0.9,,,,"saas governance, ai security, cloud app security, saas compliance, ai compliance"
Lockheed Martin,,SSPM,"Austin, TX",0.85,,,,"llm compliance, security posture management, sspm"
Goldman Sachs,,SaaS Compliance,"Boston, MA",0.85,,,,"genai security, saas compliance"
Startup53,,AI Compliance,"London, UK",0.8,,,,"generative ai compliance, ai agent risk"
Startup172,,SSPM,Remote (US),0.85,,,,"genai security, autonomous agent security, saas posture management"
Aqua Security,,SSPM,"New York, NY",0.85,,,,"cloud governance, sspm, ai agent security, saas audit"
Startup16,,SSPM,"London, UK",0.85,,,,"cloud app security, sspm, saas compliance, ai governance, autonomous agent security"
Startup395,,SSPM,"Austin, TX",0.85,,,,"ai compliance, saas governance, cloud governance, ai agent risk, saas posture management"
Northrop Grumman,,SSPM,Remote,0.85,,,,"cloud governance, ai policy, security posture management, saas risk"
Startup309,,SaaS Security,"New York, NY",0.7,,,,"ai agent security, shadow it"
Startup268,,SaaS Security,"Austin, TX",0.85,,,,"ai compliance, saas security"
Startup176,,SSPM,"Boston, MA",0.9,,,,"cloud application security, saas posture management, cloud app security, saas security posture"
Startup381,,AI Agent Security,"Toronto, Canada",0.85,,,,"saas security, autonomous agent security, llm compliance"
Startup237,,SSPM,"London, UK",0.85,,,,"saas compliance, sspm, cloud application security"
Startup283,,SaaS Compliance,"Denver, CO",0.8,,,,"ai agent security, saas compliance"
Startup327,,SSPM,Hybrid - Bay Area,0.85,,,,"saas compliance, ai compliance, llm security, security posture management, cloud governance"
Startup365,,SaaS Security,Hybrid - Bay Area,0.85,,,,"cloud compliance, llm compliance, cloud application security, ai security"
Startup112,,SSPM,"Austin, TX",0.85,,,,"security posture management, ai policy, cloud compliance, saas posture management, saas security posture"
Startup60,,SaaS Compliance,"Denver, CO",0.85,,,,"shadow it, saas governance, ai policy, generative ai compliance, llm security"
Startup27,,SaaS Security,"Seattle, WA",0.75,,,,"sanctioned it, ai agent security, saas audit"
Startup133,,SSPM,"Austin, TX",0.85,,,,"saas audit, cloud application security, generative ai compliance, security posture management, sanctioned it"
Startup283,,SSPM,"Denver, CO",0.9,,,,"saas posture management, llm security, sspm, genai security, ai agent risk"
Startup296,,SSPM,"London, UK",0.85,,,,"saas posture management, ai compliance, llm security, ai policy"
Startup106,,SaaS Security,"New York, NY",0.8,,,,"llm compliance, cloud application security"
Startup364,,SaaS Security,"Boston, MA",0.9,,,,"ai agent risk, ai governance, shadow it, genai security, saas security"
Startup40,,AI Agent Security,"Seattle, WA",0.7,,,,"llm security, ai security, ai agent risk"
Startup338,,SaaS Compliance,"San Francisco, CA",0.9,,,,"generative ai compliance, llm compliance, saas audit, sanctioned it"
Startup369,,SaaS Security,"Boston, MA",0.8,,,,"genai security, saas audit"
Startup127,,SaaS Compliance,"Denver, CO",0.8,,,,"saas compliance, autonomous agent security"
Startup272,,SSPM,"Seattle, WA",0.85,,,,"saas audit, saas security posture, security posture management"
Startup37,,AI Compliance,"London, UK",0.85,,,,"saas security, ai compliance"
Rapid7,,SSPM,"Toronto, Canada",0.85,,,,"cloud app security, ai policy"
Startup302,,SaaS Security,"New York, NY",0.8,,,,"ai agent risk, llm compliance, cloud app security, sanctioned it"
Verizon,,SSPM,Remote (US),0.85,,,,"cloud app security, cloud compliance, ai agent risk, ai compliance"
Startup36,,SSPM,"San Francisco, CA",0.85,,,,"saas audit, llm compliance, sanctioned it, sspm"
Startup7,,SSPM,"New York, NY",0.85,,,,"sspm, cloud compliance"
Startup275,,SSPM,Remote,0.85,,,,"saas risk, sanctioned it, saas audit, cloud app security, cloud application security"
Startup231,,SSPM,"Seattle, WA",0.85,,,,"ai compliance, saas security, saas security posture, saas audit"
Startup382,,SSPM,"Boston, MA",0.85,,,,"autonomous agent security, llm compliance, sspm"
Raytheon,,AI Agent Security,Remote (US),0.7,,,,"ai agent security, ai policy"
Startup354,,AI Agent Security,Hybrid - Bay Area,0.8,,,,"autonomous agent security, ai agent security, cloud compliance"
Startup154,,SSPM,"Austin, TX",0.85,,,,"sanctioned it, autonomous agent security, saas security posture"
Startup35,,SaaS Security,Remote,0.8,,,,"ai governance, ai compliance, cloud application security"
Startup145,,SaaS Security,"Boston, MA",0.9,,,,"ai agent risk, cloud app security, llm compliance, saas governance, sanctioned it"
Startup187,,SaaS Compliance,Remote (US),0.85,,,,"saas audit, ai compliance"
Startup113,,AI Compliance,Hybrid - Bay Area,0.8,,,,"shadow it, ai security, generative ai compliance, sanctioned it"
Aqua Security,,SaaS Compliance,"San Francisco, CA",0.85,,,,"saas governance, autonomous agent security, cloud compliance, generative ai compliance"
Startup136,,SSPM,"Seattle, WA",0.85,,,,"llm compliance, saas posture management"
Startup247,,SaaS Security,"San Francisco, CA",0.9,,,,"ai governance, llm security, llm compliance, autonomous agent security, saas governance"
Startup36,,SSPM,"Boston, MA",0.85,,,,"sspm, ai policy"
Home Depot,,SSPM,Remote,0.85,,,,"cloud governance, ai agent risk, ai security, saas audit, llm security"
Palo Alto Networks,,SaaS Security,"San Francisco, CA",0.7,,,,"ai policy, shadow it"
Veza,,SSPM,"New York, NY",0.85,,,,"ai governance, cloud governance, sspm, saas governance, ai policy"
Oracle,,SSPM,"San Francisco, CA",0.85,,,,"ai policy, saas security"
Startup84,,SSPM,"Boston, MA",0.85,,,,"saas security, sanctioned it"
Startup233,,SaaS Security,"San Francisco, CA",0.9,,,,"saas risk, ai security, genai security, cloud application security, llm compliance"
Startup287,,AI Compliance,Remote (US),0.7,,,,"generative ai compliance, ai policy"
Startup151,,AI Compliance,"Boston, MA",0.85,,,,"genai security, ai compliance, saas risk, ai security"
Startup22,,SSPM,"Boston, MA",0.85,,,,"cloud application security, saas audit, sspm, ai security"
Netflix,,SSPM,"London, UK",0.85,,,,"ai agent risk, saas risk, ai policy, saas security posture"
Startup3,,SSPM,Remote,0.85,,,,"llm compliance, sspm, shadow it, saas governance"
Startup34,,SaaS Compliance,"Toronto, Canada",0.8,,,,"ai compliance, cloud compliance"
Startup392,,SaaS Compliance,"Austin, TX",0.8,,,,"cloud compliance, ai governance, shadow it"
Startup362,,SSPM,"Denver, CO",0.9,,,,"cloud application security, saas governance, saas posture management, cloud app security, saas compliance"
Startup21,,AI Agent Security,"Toronto, Canada",0.7,,,,"ai agent risk, ai governance, ai security"
Startup33,,SaaS Compliance,"Austin, TX",0.7,,,,"cloud compliance, ai policy"
Startup272,,SaaS Security,Remote (US),0.85,,,,"saas security, genai security, sanctioned it, saas security posture"
Startup334,,SaaS Security,Remote,0.7,,,,"cloud governance, ai policy"
Startup83,,SSPM,"Denver, CO",0.85,,,,"sspm, llm compliance, autonomous agent security"
Startup144,,SSPM,"Boston, MA",0.85,,,,"sspm, saas security, saas risk, saas governance, shadow it"
Startup214,,SaaS Compliance,Remote,0.85,,,,"cloud governance, llm security, saas audit, llm compliance"
Startup75,,SSPM,Hybrid - Bay Area,0.85,,,,"autonomous agent security, sspm"
Startup116,,SaaS Security,Hybrid - Bay Area,0.85,,,,"llm compliance, cloud app security, saas risk"
Startup171,,SSPM,Hybrid - Bay Area,0.85,,,,"saas audit, ai agent security, sspm, saas posture management"
Startup153,,SSPM,Hybrid - Bay Area,0.85,,,,"ai agent risk, cloud application security, saas compliance, shadow it"
Startup12,,AI Compliance,"San Francisco, CA",0.8,,,,"autonomous agent security, generative ai compliance"
Startup265,,SaaS Security,"New York, NY",0.9,,,,"autonomous agent security, genai security, saas security, security posture management"
Startup31,,SSPM,"Austin, TX",0.85,,,,"ai compliance, saas audit, security posture management, shadow it"
Ermetic,,SaaS Security,"Austin, TX",0.85,,,,"cloud app security, ai agent security, genai security"
Startup173,,SaaS Compliance,"Austin, TX",0.85,,,,"shadow it, generative ai compliance, cloud governance, ai policy, saas audit"
Startup399,,SaaS Security,Hybrid - Bay Area,0.8,,,,"autonomous agent security, cloud app security, llm compliance, sanctioned it"
Startup184,,SaaS Security,Hybrid - Bay Area,0.85,,,,"ai agent security, saas risk, cloud governance"
Startup332,,SaaS Security,"New York, NY",0.8,,,,"genai security, cloud application security, ai governance"
Startup327,,SSPM,"Austin, TX",0.85,,,,"saas audit, shadow it, saas posture management"
Square,,SaaS Security,Hybrid - Bay Area,0.9,,,,"ai compliance, ai governance, generative ai compliance, ai security, saas security posture"
Startup335,,SaaS Security,"San Francisco, CA",0.9,,,,"saas security, generative ai compliance"
Startup375,,SSPM,Hybrid - Bay Area,0.85,,,,"ai compliance, shadow it, sspm"
Startup120,,SSPM,Hybrid - Bay Area,0.85,,,,"cloud governance, ai policy, cloud application security"
Startup101,,SSPM,"San Francisco, CA",0.85,,,,"saas posture management, genai security"
Startup254,,SSPM,"Boston, MA",0.85,,,,"ai governance, saas posture management"
Startup89,,AI Compliance,"London, UK",0.8,,,,"ai agent risk, generative ai compliance"
Startup80,,SaaS Compliance,"Toronto, Canada",0.8,,,,"saas governance, cloud governance, ai policy, generative ai compliance"
Asana,,SSPM,"Toronto, Canada",0.85,,,,"ai compliance, generative ai compliance, security posture management, cloud application security"
Startup110,,AI Agent Security,Hybrid - Bay Area,0.8,,,,"llm security, autonomous agent security, generative ai compliance"
Startup179,,SSPM,"Boston, MA",0.85,,,,"shadow it, autonomous agent security"
Startup4,,AI Agent Security,Remote (US),0.8,,,,"autonomous agent security, ai compliance, llm security"
Walmart,,SaaS Compliance,Remote (US),0.8,,,,"llm compliance, cloud application security, ai compliance"
Lockheed Martin,,SSPM,"Toronto, Canada",0.85,,,,"llm compliance, genai security, ai agent risk, saas posture management"
Startup347,,SaaS Compliance,"Austin, TX",0.85,,,,"cloud compliance, shadow it"
Startup140,,SSPM,"Denver, CO",0.85,,,,"cloud governance, sanctioned it, generative ai compliance, ai agent risk, saas security posture"
Startup160,,SSPM,"Boston, MA",0.85,,,,"saas security, shadow it, saas governance, saas audit"
Microsoft,,SaaS Compliance,"Seattle, WA",0.7,,,,"ai policy, cloud governance"
Startup367,,SSPM,"London, UK",0.85,,,,"sanctioned it, sspm, ai policy"
Startup137,,SSPM,"Boston, MA",0.85,,,,"saas posture management, sanctioned it"
Startup19,,AI Agent Security,"New York, NY",0.8,,,,"ai agent risk, cloud governance, genai security, ai security"
Tenable,,SaaS Security,"Seattle, WA",0.85,,,,"saas security, saas governance, ai compliance"
Startup10,,SaaS Compliance,Hybrid - Bay Area,0.9,,,,"ai policy, ai security, saas compliance, ai agent risk"
Startup258,,SaaS Compliance,"Toronto, Canada",0.85,,,,"ai policy, saas governance, saas compliance, saas audit"
Startup364,,AI Agent Security,Remote (US),0.7,,,,"ai policy, autonomous agent security"
Startup234,,AI Compliance,"Austin, TX",0.7,,,,"ai governance, ai compliance"
Startup162,,SSPM,Remote,0.85,,,,"saas security, security posture management"
Startup324,,SaaS Compliance,"Toronto, Canada",0.85,,,,"ai agent risk, saas compliance, cloud app security, saas audit"
Goldman Sachs,,SaaS Security,"New York, NY",0.85,,,,"saas governance, cloud application security, genai security"
Qualys,,SaaS Security,"London, UK",0.85,,,,"genai security, saas security, sanctioned it"
Startup274,,SSPM,"Denver, CO",0.85,,,,"ai agent security, ai security, security posture management, sspm"
Startup147,,SSPM,"Denver, CO",0.85,,,,"security posture management, saas security posture"
Startup176,,SSPM,Remote,0.85,,,,"ai compliance, saas compliance, security posture management"
Startup134,,SSPM,"Denver, CO",0.85,,,,"saas security posture, saas posture management"
Startup9,,SaaS Compliance,"New York, NY",0.85,,,,"cloud governance, saas governance, saas compliance"
Startup362,,SaaS Security,Remote (US),0.9,,,,"cloud governance, cloud compliance, ai agent security, llm compliance, saas governance"
Startup204,,AI Agent Security,"New York, NY",0.8,,,,"ai governance, llm security, genai security, ai agent risk"
Startup129,,SaaS Security,"Boston, MA",0.7,,,,"ai security, cloud governance"
Startup278,,SaaS Security,"San Francisco, CA",0.8,,,,"cloud governance, cloud application security, genai security, ai security"
Startup289,,SSPM,Remote (US),0.85,,,,"ai security, sspm, saas compliance, ai agent security"
Startup49,,SSPM,Remote (US),0.85,,,,"genai security, saas posture management, saas risk, ai agent risk"
Startup365,,SSPM,"Boston, MA",0.85,,,,"cloud app security, saas posture management, genai security, ai agent security"
Startup156,,SSPM,"Boston, MA",0.85,,,,"saas security posture, cloud application security"
Startup225,,AI Compliance,Remote (US),0.7,,,,"ai security, ai governance"
Startup153,,AI Agent Security,Remote,0.85,,,,"saas security, ai agent security, ai security"
Startup311,,SSPM,"Austin, TX",0.85,,,,"saas audit, ai agent security, llm compliance, saas posture management, cloud app security"
Startup298,,SaaS Compliance,"Seattle, WA",0.8,,,,"ai compliance, cloud governance"
Startup330,,SaaS Security,"London, UK",0.8,,,,"saas risk, llm security"
Startup132,,SSPM,"Seattle, WA",0.85,,,,"saas security posture, llm security"
Startup77,,SSPM,"Boston, MA",0.85,,,,"shadow it, sanctioned it, cloud app security, ai agent risk, generative ai compliance"
Startup53,,SaaS Security,Remote,0.8,,,,"genai security, cloud application security"
Startup333,,SSPM,"New York, NY",0.85,,,,"llm compliance, saas posture management"
Startup248,,SaaS Security,Remote,0.8,,,,"ai agent security, cloud governance, llm compliance"
Startup281,,SSPM,Hybrid - Bay Area,0.9,,,,"shadow it, cloud application security, saas posture management, sanctioned it, saas risk"
Startup193,,SSPM,"Toronto, Canada",0.85,,,,"cloud compliance, saas risk, sanctioned it, llm compliance, security posture management"
Startup111,,SSPM,"London, UK",0.85,,,,"cloud compliance, genai security, sspm"
Northrop Grumman,,AI Agent Security,Hybrid - Bay Area,0.8,,,,"ai governance, ai security, llm security, sanctioned it, saas governance"
Startup40,,SSPM,"Toronto, Canada",0.85,,,,"saas posture management, saas audit, llm compliance, llm security, security posture management"
Startup48,,SSPM,"London, UK",0.85,,,,"saas governance, shadow it, saas audit, llm compliance, cloud app security"
Startup101,,SSPM,"Boston, MA",0.85,,,,"ai security, saas posture management"
Startup306,,SSPM,"Austin, TX",0.85,,,,"saas posture management, saas risk, ai agent risk, sanctioned it"
Startup346,,SSPM,"New York, NY",0.85,,,,"cloud compliance, sspm, ai governance"
Startup182,,SaaS Security,"Seattle, WA",0.8,,,,"ai governance, autonomous agent security, ai agent security, shadow it, saas risk"
Startup260,,SaaS Security,Hybrid - Bay Area,0.85,,,,"ai governance, shadow it, saas security"
Startup208,,SSPM,"Boston, MA",0.85,,,,"cloud compliance, saas posture management, generative ai compliance"
Startup370,,SSPM,"Austin, TX",0.85,,,,"saas risk, cloud application security, saas posture management"
PayPal,,SaaS Security,"Boston, MA",0.85,,,,"ai agent security, saas security posture"
Startup53,,SSPM,"San Francisco, CA",0.85,,,,"saas governance, sspm, saas risk, shadow it"
Startup171,,SaaS Security,"Boston, MA",0.9,,,,"saas governance, shadow it, cloud compliance, saas security, llm security"
Startup12,,AI Agent Security,"San Francisco, CA",0.7,,,,"llm compliance, ai agent risk"
